date,1. open,2. high,3. low,4. close,5. volume
2024-07-17 19:00:00,229.102,229.35,229.03,229.13,36686.0
2024-07-17 18:00:00,228.921,229.35,228.92,229.11,48283.0
2024-07-17 17:00:00,229.023,229.82,227.8,228.93,1458719.0
2024-07-17 16:00:00,228.88,231.31,226.805,229.023,15113793.0
2024-07-17 15:00:00,229.195,229.82,227.726,228.88,8880650.0
2024-07-17 14:00:00,228.64,229.8,228.508,229.2,4859122.0
2024-07-17 13:00:00,228.72,228.92,228.15,228.631,3478637.0
2024-07-17 12:00:00,228.72,229.01,228.27,228.71,3943532.0
2024-07-17 11:00:00,227.765,229.01,227.74,228.71,5233229.0
2024-07-17 10:00:00,229.0,229.065,226.64,227.77,9285999.0
2024-07-17 09:00:00,230.11,234.82,221.55,229.01,10342440.0
2024-07-17 08:00:00,229.79,235.17,229.412,230.1,556740.0
2024-07-17 07:00:00,230.43,230.8,229.5,229.75,288820.0
2024-07-17 06:00:00,231.0,231.09,230.02,230.43,104217.0
2024-07-17 05:00:00,231.18,231.6,230.91,230.99,58879.0
2024-07-17 04:00:00,233.41,233.41,230.28,231.19,152625.0
